School Name,State Name [Public School] Latest available year,State Abbr [Public School] Latest available year,School Name [Public School] 2015-16,County Name [Public School] 2015-16,Location City [Public School] 2015-16,Location State Abbr [Public School] 2015-16,School Type [Public School] 2015-16,Charter School [Public School] 2015-16,Magnet School [Public School] 2015-16,School Level Code [Public School] 2015-16,Total Students All Grades (Excludes AE) [Public School] 2015-16,Total Students All Grades (Includes AE) [Public School] 2015-16,Asian or Asian/Pacific Islander Students [Public School] 2015-16,Black Students [Public School] 2015-16,White Students [Public School] 2015-16,Total Race/Ethnicity [Public School] 2015-16,Male Students [Public School] 2015-16,Female Students [Public School] 2015-16,State Name [Public School] 2015-16,Full-Time Equivalent (FTE) Teachers [Public School] 2015-16,Pupil/Teacher Ratio [Public School] 2015-16
RUTH ANN MONROE PRIMARY,Maryland,MD ,Ruth Ann Monroe Primary,Washington County,HAGERSTOWN,MD ,1-Regular school,2-No,2-No,1-Primary,585,585,19,160,246,585,292,293,MARYLAND,46.91,12.47
RUTH PARKER EASON SCHOOL,Maryland,MD ,Ruth Parker Eason School,Anne Arundel County,MILLERSVILLE,MD ,2-Special education school,2-No,2-No,4-Other,113,113,6,46,49,113,80,33,MARYLAND,24.9,4.54
S. CHRISTA MCAULIFFE ELEMENTARY,MARYLAND,MD ,S. Christa McAuliffe Elementary,Montgomery County,GERMANTOWN,MD ,1-Regular school,2-No,2-No,1-Primary,640,640,53,242,105,640,314,326,MARYLAND,43.93,14.57
SABILLASVILLE ELEMENTARY,Maryland,MD ,Sabillasville Elementary,Frederick County,SABILLASVILLE,MD ,1-Regular school,2-No,2-No,1-Primary,112,112,0,1,101,112,60,52,MARYLAND,9.69,11.56
SALEM AVENUE ELEMENTARY,Maryland,MD ,Salem Avenue Elementary,Washington County,HAGERSTOWN,MD ,1-Regular school,2-No,2-No,1-Primary,702,702,17,167,304,702,346,356,MARYLAND,47,14.94
SALISBURY MIDDLE,Maryland,MD ,Salisbury Middle,Wicomico County,SALISBURY,MD ,1-Regular school,2-No,2-No,2-Middle,795,795,27,389,302,795,406,389,MARYLAND,85,9.35
SAMUEL CHASE ELEMENTARY,Maryland,MD ,Samuel Chase Elementary,Prince George's County,TEMPLE HILLS,MD ,1-Regular school,2-No,2-No,1-Primary,283,283,1,234,0,283,159,124,MARYLAND,21.84,12.96
SAMUEL F. B. MORSE ELEMENTARY,Maryland,MD ,Samuel F. B. Morse Elementary,Baltimore city,BALTIMORE,MD ,1-Regular school,2-No,2-No,1-Primary,353,353,0,282,57,353,191,162,MARYLAND,20.5,17.22
SAMUEL OGLE MIDDLE,Maryland,MD ,Samuel Ogle Middle,Prince George's County,BOWIE,MD ,1-Regular school,2-No,2-No,2-Middle,836,836,46,516,127,836,411,425,MARYLAND,54,15.48
SAMUEL P. MASSIE ACADEMY,Maryland,MD ,Samuel P. Massie Academy,Prince George's County,FORESTVILLE,MD ,1-Regular school,2-No,2-No,1-Primary,663,663,4,635,7,663,341,322,MARYLAND,43.4,15.28
SANDALWOOD ELEMENTARY,Maryland,MD ,Sandalwood Elementary,Baltimore County,BALTIMORE,MD ,1-Regular school,2-No,2-No,1-Primary,593,593,3,397,59,593,276,317,MARYLAND,35,16.94
SANDY HILL ELEMENTARY,Maryland,MD ,Sandy Hill Elementary,Dorchester County,CAMBRIDGE,MD ,1-Regular school,2-No,2-No,1-Primary,480,480,6,269,124,480,255,225,MARYLAND,40,12
SANDY PLAINS ELEMENTARY,Maryland,MD ,Sandy Plains Elementary,Baltimore County,BALTIMORE,MD ,1-Regular school,2-No,2-No,1-Primary,585,585,16,131,304,585,299,286,MARYLAND,39.2,14.92
SANDYMOUNT ELEMENTARY,Maryland,MD ,Sandymount Elementary,Carroll County,FINKSBURG,MD ,1-Regular school,2-No,2-No,1-Primary,442,442,9,27,387,442,213,229,MARYLAND,31.4,14.08
SARAH M. ROACH ELEMENTARY,Maryland,MD ,Sarah M. Roach Elementary,Baltimore city,BALTIMORE,MD ,1-Regular school,2-No,2-No,1-Primary,241,241,1,215,12,241,125,116,MARYLAND,13.5,17.85
SARGENT SHRIVER ELEMENTARY,Maryland,MD ,Sargent Shriver Elementary,Montgomery County,SILVER SPRING,MD ,1-Regular school,2-No,2-No,1-Primary,756,756,58,90,21,756,386,370,MARYLAND,58.7,12.88
SCHOLARS K-8,Maryland,MD ,Scholars K-8,Baltimore County,BALTIMORE,MD ,1-Regular school,2-No,2-No,1-Primary,264,264,1,258,1,264,126,138,MARYLAND,21.2,12.45
SCOTCHTOWN HILLS ELEMENTARY,Maryland,MD ,Scotchtown Hills Elementary,Prince George's County,LAUREL,MD ,1-Regular school,2-No,2-No,1-Primary,695,695,25,366,49,695,352,343,MARYLAND,39.5,17.59
SCOTTS BRANCH ELEMENTARY,Maryland,MD ,Scotts Branch Elementary,Baltimore County,BALTIMORE,MD ,1-Regular school,2-No,2-No,1-Primary,565,565,2,512,5,565,274,291,MARYLAND,37.5,15.07
SEABROOK ELEMENTARY,Maryland,MD ,Seabrook Elementary,Prince George's County,SEABROOK,MD ,1-Regular school,2-No,2-No,1-Primary,325,325,14,139,11,325,191,134,MARYLAND,21.96,14.8
SEAT PLEASANT ELEMENTARY,Maryland,MD ,Seat Pleasant Elementary,Prince George's County,SEAT PLEASANT,MD ,1-Regular school,2-No,2-No,1-Primary,345,345,3,296,3,345,205,140,MARYLAND,35.44,9.73
SENECA ELEMENTARY,Maryland,MD ,Seneca Elementary,Baltimore County,BALTIMORE,MD ,1-Regular school,2-No,2-No,1-Primary,484,484,4,155,247,484,237,247,MARYLAND,28.6,16.92
SENECA VALLEY HIGH,Maryland,MD ,Seneca Valley High,Montgomery County,GERMANTOWN,MD ,1-Regular school,2-No,2-No,3-High,1198,1198,137,431,235,1198,604,594,MARYLAND,82.4,14.54
SEQUOYAH ELEMENTARY,Maryland,MD ,Sequoyah Elementary,Montgomery County,DERWOOD,MD ,1-Regular school,2-No,2-No,1-Primary,387,387,44,51,84,387,199,188,MARYLAND,35.3,10.96
SEVEN LOCKS ELEMENTARY,Maryland,MD ,Seven Locks Elementary,Montgomery County,BETHESDA,MD ,1-Regular school,2-No,2-No,1-Primary,398,398,75,31,218,398,192,206,MARYLAND,22.2,17.93
SEVEN OAKS ELEMENTARY,Maryland,MD ,Seven Oaks Elementary,Baltimore County,BALTIMORE,MD ,1-Regular school,2-No,2-No,1-Primary,437,437,46,94,255,437,231,206,MARYLAND,24.9,17.55
SEVEN OAKS ELEMENTARY,Maryland,MD ,Seven Oaks Elementary,Anne Arundel County,ODENTON,MD ,1-Regular school,2-No,2-No,1-Primary,700,700,22,409,101,700,355,345,MARYLAND,43,16.28
SEVENTH DISTRICT ELEMENTARY,Maryland,MD ,Seventh District Elementary,Baltimore County,PARKTON,MD ,1-Regular school,2-No,2-No,1-Primary,418,418,12,7,377,418,218,200,MARYLAND,27.5,15.2
SEVERN ELEMENTARY,Maryland,MD ,Severn Elementary,Anne Arundel County,SEVERN,MD ,1-Regular school,2-No,2-No,1-Primary,463,463,28,221,119,463,234,229,MARYLAND,28.4,16.3
SEVERN RIVER MIDDLE,Maryland,MD ,Severn River Middle,Anne Arundel County,ARNOLD,MD ,1-Regular school,2-No,2-No,2-Middle,759,759,20,50,588,759,374,385,MARYLAND,44.7,16.98
SEVERNA PARK ELEMENTARY,Maryland,MD ,Severna Park Elementary,Anne Arundel County,SEVERNA PARK,MD ,1-Regular school,2-No,2-No,1-Primary,400,400,13,10,347,400,210,190,MARYLAND,25.1,15.94
SEVERNA PARK HIGH,Maryland,MD ,Severna Park High,Anne Arundel County,SEVERNA PARK,MD ,1-Regular school,2-No,2-No,3-High,1799,1799,59,77,1521,1799,888,911,MARYLAND,98.5,18.26
SEVERNA PARK MIDDLE,Maryland,MD ,Severna Park Middle,Anne Arundel County,SEVERNA PARK,MD ,1-Regular school,2-No,2-No,2-Middle,1431,1431,45,48,1214,1431,768,663,MARYLAND,84.66,16.9
SHADY GROVE MIDDLE,Maryland,MD ,Shady Grove Middle,Montgomery County,GAITHERSBURG,MD ,1-Regular school,2-No,2-No,2-Middle,565,565,65,114,145,565,298,267,MARYLAND,42.4,13.33
SHADY SIDE ELEMENTARY,Maryland,MD ,Shady Side Elementary,Anne Arundel County,SHADY SIDE,MD ,1-Regular school,2-No,2-No,1-Primary,501,501,3,49,404,501,259,242,MARYLAND,29.7,16.87
SHADY SPRING ELEMENTARY,Maryland,MD ,Shady Spring Elementary,Baltimore County,BALTIMORE,MD ,1-Regular school,2-No,2-No,1-Primary,663,663,57,392,61,663,362,301,MARYLAND,39.9,16.62
SHARP-LEADENHALL ELEMENTARY,Maryland,MD ,Sharp-Leadenhall Elementary,Baltimore city,BALTIMORE,MD ,2-Special education school,2-No,2-No,1-Primary,35,35,0,31,3,35,31,4,MARYLAND,14,2.5
SHARPSBURG ELEMENTARY,Maryland,MD ,Sharpsburg Elementary,Washington County,SHARPSBURG,MD ,1-Regular school,2-No,2-No,1-Primary,276,276,1,3,259,276,153,123,MARYLAND,18.84,14.65
SHERWOOD ELEMENTARY,Maryland,MD ,Sherwood Elementary,Montgomery County,SANDY SPRING,MD ,1-Regular school,2-No,2-No,1-Primary,513,513,69,94,258,513,275,238,MARYLAND,34.5,14.87
SHERWOOD HIGH,Maryland,MD ,Sherwood High,Montgomery County,SANDY SPRING,MD ,1-Regular school,2-No,2-No,3-High,1890,1890,222,319,987,1890,942,948,MARYLAND,105.6,17.9
SHILOH MIDDLE,Maryland,MD ,Shiloh Middle,Carroll County,HAMPSTEAD,MD ,1-Regular school,2-No,2-No,2-Middle,657,657,17,25,567,657,328,329,MARYLAND,41.2,15.95
SHIPLEY'S CHOICE ELEMENTARY,Maryland,MD ,Shipley's Choice Elementary,Anne Arundel County,MILLERSVILLE,MD ,1-Regular school,2-No,2-No,1-Primary,371,371,19,2,328,371,195,176,MARYLAND,23.6,15.72
SHOWELL ELEMENTARY,Maryland,MD ,Showell Elementary,Worcester County,BERLIN,MD ,1-Regular school,2-No,2-No,1-Primary,548,548,14,24,438,548,281,267,MARYLAND,41.5,13.2
SILVER SPRING INTERNATIONAL MIDDLE,Maryland,MD ,Silver Spring International Middle,Montgomery County,SILVER SPRING,MD ,1-Regular school,2-No,2-No,2-Middle,1042,1042,53,252,290,1042,509,533,MARYLAND,68.6,15.19
SINCLAIR LANE ELEMENTARY,Maryland,MD ,Sinclair Lane Elementary,Baltimore city,BALTIMORE,MD ,1-Regular school,2-No,2-No,1-Primary,379,379,17,353,0,379,194,185,MARYLAND,18.5,20.49
SKYLINE ELEMENTARY,Maryland,MD ,Skyline Elementary,Prince George's County,SUITLAND,MD ,1-Regular school,2-No,2-No,1-Primary,206,206,0,181,5,206,127,79,MARYLAND,23.7,8.69
SLIGO CREEK ELEMENTARY,Maryland,MD ,Sligo Creek Elementary,Montgomery County,SILVER SPRING,MD ,1-Regular school,2-No,2-No,1-Primary,647,647,29,156,338,647,336,311,MARYLAND,35.4,18.28
SLIGO MIDDLE,Maryland,MD ,Sligo Middle,Montgomery County,SILVER SPRING,MD ,1-Regular school,2-No,2-No,2-Middle,625,625,51,140,157,625,311,314,MARYLAND,46.3,13.5
SMITHSBURG ELEMENTARY,Maryland,MD ,Smithsburg Elementary,Washington County,SMITHSBURG,MD ,1-Regular school,2-No,2-No,1-Primary,401,401,4,10,340,401,185,216,MARYLAND,22.62,17.73
SMITHSBURG HIGH,Maryland,MD ,Smithsburg High,Washington County,SMITHSBURG,MD ,1-Regular school,2-No,2-No,3-High,763,763,20,42,640,763,390,373,MARYLAND,48,15.9
SMITHSBURG MIDDLE,Maryland,MD ,Smithsburg Middle,Washington County,SMITHSBURG,MD ,1-Regular school,2-No,2-No,2-Middle,661,661,9,42,545,661,341,320,MARYLAND,41.76,15.83
SNOW HILL ELEMENTARY,Maryland,MD ,Snow Hill Elementary,Worcester County,SNOW HILL,MD ,1-Regular school,2-No,2-No,1-Primary,386,386,3,115,222,386,207,179,MARYLAND,28.5,13.54
SNOW HILL HIGH,Maryland,MD ,Snow Hill High,Worcester County,SNOW HILL,MD ,1-Regular school,2-No,2-No,3-High,328,328,7,90,203,328,151,177,MARYLAND,31,10.58
SNOW HILL MIDDLE,Maryland,MD ,Snow Hill Middle,Worcester County,SNOW HILL,MD ,1-Regular school,2-No,2-No,2-Middle,360,360,4,89,227,360,199,161,MARYLAND,42.5,8.47
SOLLERS POINT/SOUTHEASTERN TECHNICAL HIGH,Maryland,MD ,Sollers Point/Southeastern Technical High,Baltimore County,BALTIMORE,MD ,3-Vocational school,2-No,1-Yes,†,†,†,†,†,†,0,†,†,MARYLAND,0,†
SOLLEY ELEMENTARY,Maryland,MD ,Solley Elementary,Anne Arundel County,GLEN BURNIE,MD ,1-Regular school,2-No,2-No,1-Primary,754,754,24,76,513,754,381,373,MARYLAND,40.3,18.71
SOMERSET 6/7 INTERMEDIATE SCHOOL,Maryland,MD ,Somerset 6/7 Intermediate School,Somerset County,WESTOVER,MD ,1-Regular school,2-No,2-No,2-Middle,433,433,4,179,196,433,225,208,MARYLAND,34.88,12.41
SOMERSET ELEMENTARY,Maryland,MD ,Somerset Elementary,Montgomery County,CHEVY CHASE,MD ,1-Regular school,2-No,2-No,1-Primary,570,570,51,22,358,570,294,276,MARYLAND,32.2,17.7
SOUTH CARROLL HIGH,Maryland,MD ,South Carroll High,Carroll County,SYKESVILLE,MD ,1-Regular school,2-No,2-No,3-High,1031,1031,19,20,919,1031,536,495,MARYLAND,62.34,16.54
SOUTH DORCHESTER SCHOOL,Maryland,MD ,South Dorchester School,Dorchester County,CHURCH CREEK,MD ,1-Regular school,2-No,2-No,1-Primary,206,206,2,4,177,206,102,104,MARYLAND,15.5,13.29
SOUTH HAGERSTOWN HIGH,Maryland,MD ,South Hagerstown High,Washington County,HAGERSTOWN,MD ,1-Regular school,2-No,2-No,3-High,1258,1258,26,359,642,1258,648,610,MARYLAND,79.2,15.88
SOUTH LAKE ELEMENTARY,Maryland,MD ,South Lake Elementary,Montgomery County,GAITHERSBURG,MD ,1-Regular school,2-No,2-No,1-Primary,816,816,54,226,22,816,432,384,MARYLAND,62.7,13.01
SOUTH PENN ELEMENTARY,Maryland,MD ,South Penn Elementary,Allegany County,CUMBERLAND,MD ,1-Regular school,2-No,2-No,1-Primary,517,517,2,28,427,517,263,254,MARYLAND,37.15,13.92
SOUTH RIVER HIGH,Maryland,MD ,South River High,Anne Arundel County,EDGEWATER,MD ,1-Regular school,2-No,2-No,3-High,2192,2192,72,136,1709,2192,1147,1045,MARYLAND,126.5,17.33
SOUTH SHORE ELEMENTARY,Maryland,MD ,South Shore Elementary,Anne Arundel County,CROWNSVILLE,MD ,1-Regular school,2-No,2-No,1-Primary,331,331,3,15,255,331,164,167,MARYLAND,22,15.05
SOUTHAMPTON MIDDLE,Maryland,MD ,Southampton Middle,Harford County,BEL AIR,MD ,1-Regular school,2-No,2-No,2-Middle,1251,1251,63,83,993,1251,653,598,MARYLAND,80.36,15.57
SOUTHERN GARRETT HIGH SCHOOL,Maryland,MD ,Southern Garrett High School,Garrett County,OAKLAND,MD ,1-Regular school,2-No,2-No,3-High,672,672,5,1,644,672,346,326,MARYLAND,53,12.68
SOUTHERN HIGH,Maryland,MD ,Southern High,Anne Arundel County,HARWOOD,MD ,1-Regular school,2-No,2-No,3-High,1047,1047,11,110,813,1047,499,548,MARYLAND,63.5,16.49
SOUTHERN MIDDLE,Maryland,MD ,Southern Middle,Anne Arundel County,LOTHIAN,MD ,1-Regular school,2-No,2-No,2-Middle,764,764,8,51,608,764,401,363,MARYLAND,52.44,14.57
SOUTHERN MIDDLE,Maryland,MD ,Southern Middle,Calvert County,LUSBY,MD ,1-Regular school,2-No,2-No,2-Middle,476,476,4,82,331,476,258,218,MARYLAND,31,15.35
SOUTHERN MIDDLE SCHOOL,Maryland,MD ,Southern Middle School,Garrett County,OAKLAND,MD ,1-Regular school,2-No,2-No,2-Middle,544,544,2,2,525,544,298,246,MARYLAND,38,14.32
SOUTHGATE ELEMENTARY,Maryland,MD ,Southgate Elementary,Anne Arundel County,GLEN BURNIE,MD ,1-Regular school,2-No,2-No,1-Primary,743,743,25,256,299,743,380,363,MARYLAND,43.1,17.24
SOUTHWEST ACADEMY,Maryland,MD ,Southwest Academy,Baltimore County,BALTIMORE,MD ,1-Regular school,2-No,1-Yes,2-Middle,790,790,92,586,22,790,443,347,MARYLAND,54.5,14.5
SOUTHWEST BALTIMORE CHARTER SCHOOL,Maryland,MD ,Southwest Baltimore Charter School,Baltimore city,BALTIMORE,MD ,1-Regular school,1-Yes,2-No,1-Primary,407,407,1,354,43,407,198,209,MARYLAND,30,13.57
SPARK M. MATSUNAGA ELEMENTARY SCHOOL,Maryland,MD ,Spark M. Matsunaga Elementary School,Montgomery County,GERMANTOWN,MD ,1-Regular school,2-No,2-No,1-Primary,860,860,312,166,216,860,429,431,MARYLAND,45.8,18.78
SPARKS ELEMENTARY,Maryland,MD ,Sparks Elementary,Baltimore County,SPARKS,MD ,1-Regular school,2-No,2-No,1-Primary,518,518,30,13,455,518,266,252,MARYLAND,28.7,18.05
SPARROWS POINT HIGH,Maryland,MD ,Sparrows Point High,Baltimore County,SPARROWS POINT,MD ,1-Regular school,2-No,1-Yes,3-High,892,892,9,56,761,892,406,486,MARYLAND,54.3,16.43
SPARROWS POINT MIDDLE,MARYLAND,MD ,Sparrows Point Middle,Baltimore County,BALTIMORE,MD ,1-Regular school,2-No,2-No,2-Middle,550,550,2,39,462,550,311,239,MARYLAND,33,16.67
SPRING GARDEN ELEMENTARY,Maryland,MD ,Spring Garden Elementary,Carroll County,HAMPSTEAD,MD ,1-Regular school,2-No,2-No,1-Primary,539,539,8,15,460,539,285,254,MARYLAND,35.9,15.01
SPRING RIDGE ELEMENTARY,Maryland,MD ,Spring Ridge Elementary,Frederick County,FREDERICK,MD ,1-Regular school,2-No,2-No,1-Primary,469,469,14,90,257,469,259,210,MARYLAND,31.9,14.7
SPRING RIDGE MIDDLE,Maryland,MD ,Spring Ridge Middle,St. Mary's County,LEXINGTON PARK,MD ,1-Regular school,2-No,2-No,2-Middle,1001,1001,50,341,455,1001,498,503,MARYLAND,60.4,16.57
SPRINGBROOK HIGH,Maryland,MD ,Springbrook High,Montgomery County,SILVER SPRING,MD ,1-Regular school,2-No,2-No,3-High,1790,1790,202,748,143,1790,1031,759,MARYLAND,107.09,16.71
SPRINGFIELD MIDDLE,Maryland,MD ,Springfield Middle,Washington County,WILLIAMSPORT,MD ,1-Regular school,2-No,1-Yes,2-Middle,842,842,20,69,638,842,465,377,MARYLAND,52.78,15.95
SPRINGHILL LAKE ELEMENTARY,Maryland,MD ,Springhill Lake Elementary,Prince George's County,GREENBELT,MD ,1-Regular school,2-No,2-No,1-Primary,853,853,11,369,31,853,452,401,MARYLAND,77.7,10.98
ST LEONARD ELEMENTARY,Maryland,MD ,St Leonard Elementary,Calvert County,ST LEONARD,MD ,1-Regular school,2-No,2-No,1-Primary,488,488,6,73,313,488,268,220,MARYLAND,32.7,14.92
ST. CHARLES HIGH SCHOOL,MARYLAND,MD ,St. Charles High School,Charles County,WALDORF,MD ,1-Regular school,2-No,2-No,3-High,1264,1264,26,861,225,1264,673,591,MARYLAND,85,14.87
ST. JOHNS LANE ELEMENTARY,Maryland,MD ,St. Johns Lane Elementary,Howard County,ELLICOTT CITY,MD ,1-Regular school,2-No,2-No,1-Primary,729,729,289,70,329,729,386,343,MARYLAND,49.6,14.7
ST. MARY'S COUNTY EVENING HIGH,Maryland,MD ,St. Mary's County Evening High,St. Mary's County,LEONARDTOWN,MD ,4-Alternative/other school,2-No,2-No,†,†,†,†,†,†,0,†,†,MARYLAND,0,†
ST. MICHAELS ELEMENTARY,Maryland,MD ,St. Michaels Elementary,Talbot County,ST MICHAELS,MD ,1-Regular school,2-No,2-No,1-Primary,346,346,3,58,250,346,181,165,MARYLAND,25.51,13.56
ST. MICHAELS MIDDLE/HIGH SCHOOL,Maryland,MD ,St. Michaels Middle/High School,Talbot County,ST MICHAELS,MD ,1-Regular school,2-No,2-No,4-Other,471,471,8,52,350,471,242,229,MARYLAND,36.52,12.9
STADIUM SCHOOL,Maryland,MD ,Stadium School,Baltimore city,BALTIMORE,MD ,1-Regular school,2-No,2-No,2-Middle,237,237,0,233,1,237,133,104,MARYLAND,14.5,16.34
STEDWICK ELEMENTARY,Maryland,MD ,Stedwick Elementary,Montgomery County,MONTGOMERY VILLAGE,MD ,1-Regular school,2-No,2-No,1-Primary,581,581,30,179,81,581,307,274,MARYLAND,41.4,14.03
STEMMERS RUN MIDDLE,Maryland,MD ,Stemmers Run Middle,Baltimore County,BALTIMORE,MD ,1-Regular school,2-No,2-No,2-Middle,704,704,15,180,409,704,354,350,MARYLAND,45,15.64
STEPHEN DECATUR HIGH,Maryland,MD ,Stephen Decatur High,Worcester County,BERLIN,MD ,1-Regular school,2-No,2-No,3-High,1346,1346,27,147,1054,1346,710,636,MARYLAND,85.5,15.74
STEPHEN DECATUR MIDDLE,Maryland,MD ,Stephen Decatur Middle,Prince George's County,CLINTON,MD ,1-Regular school,2-No,2-No,2-Middle,681,681,9,519,20,681,360,321,MARYLAND,48.5,14.04
STEPHEN DECATUR MIDDLE,Maryland,MD ,Stephen Decatur Middle,Worcester County,BERLIN,MD ,1-Regular school,2-No,2-No,2-Middle,615,615,14,75,463,615,323,292,MARYLAND,53,11.6
STEPHEN KNOLLS SCHOOL,Maryland,MD ,Stephen Knolls School,Montgomery County,KENSINGTON,MD ,2-Special education school,2-No,2-No,4-Other,85,85,6,25,21,85,54,31,MARYLAND,18.6,4.57
STEUART HILL ACADEMIC ACADEMY,Maryland,MD ,Steuart Hill Academic Academy,Baltimore city,BALTIMORE,MD ,1-Regular school,2-No,2-No,1-Primary,303,303,0,238,42,303,146,157,MARYLAND,18.5,16.38
STEVENS FOREST ELEMENTARY,Maryland,MD ,Stevens Forest Elementary,Howard County,COLUMBIA,MD ,1-Regular school,2-No,2-No,1-Primary,453,453,28,144,65,453,233,220,MARYLAND,49,9.24
STEVENSVILLE MIDDLE SCHOOL,Maryland,MD ,Stevensville Middle School,Queen Anne's County,STEVENSVILLE,MD ,1-Regular school,2-No,2-No,2-Middle,503,503,9,37,407,503,247,256,MARYLAND,35,14.37
STONE MILL ELEMENTARY,Maryland,MD ,Stone Mill Elementary,Montgomery County,NORTH POTOMAC,MD ,1-Regular school,2-No,2-No,1-Primary,644,644,317,81,183,644,321,323,MARYLAND,39,16.51
STONEGATE ELEMENTARY,Maryland,MD ,Stonegate Elementary,Montgomery County,SILVER SPRING,MD ,1-Regular school,2-No,2-No,1-Primary,494,494,75,163,124,494,261,233,MARYLAND,28.4,17.39
STONELEIGH ELEMENTARY,Maryland,MD ,Stoneleigh Elementary,Baltimore County,BALTIMORE,MD ,1-Regular school,2-No,2-No,1-Primary,730,730,45,63,538,730,376,354,MARYLAND,44.3,16.48
STRATHMORE ELEMENTARY,Maryland,MD ,Strathmore Elementary,Montgomery County,SILVER SPRING,MD ,1-Regular school,2-No,2-No,1-Primary,473,473,27,197,29,473,236,237,MARYLAND,30.6,15.46
STRAWBERRY KNOLL ELEMENTARY,Maryland,MD ,Strawberry Knoll Elementary,Montgomery County,GAITHERSBURG,MD ,1-Regular school,2-No,2-No,1-Primary,620,620,82,180,80,620,322,298,MARYLAND,48.7,12.73
STUDIO 39,MARYLAND,MD ,Studio 39,Anne Arundel County,ANNAPOLIS,MD ,4-Alternative/other school,2-No,2-No,†,†,†,†,†,†,0,†,†,MARYLAND,1.5,†
SUDBROOK MAGNET MIDDLE,Maryland,MD ,Sudbrook Magnet Middle,Baltimore County,BALTIMORE,MD ,1-Regular school,2-No,1-Yes,2-Middle,999,999,85,605,175,999,378,621,MARYLAND,62,16.11
SUDLERSVILLE ELEMENTARY SCHOOL,Maryland,MD ,Sudlersville Elementary School,Queen Anne's County,SUDLERSVILLE,MD ,1-Regular school,2-No,2-No,1-Primary,328,328,1,26,204,328,168,160,MARYLAND,24,13.67
SUDLERSVILLE MIDDLE SCHOOL,Maryland,MD ,Sudlersville Middle School,Queen Anne's County,SUDLERSVILLE,MD ,1-Regular school,2-No,2-No,2-Middle,453,453,1,36,342,453,232,221,MARYLAND,32.5,13.94
SUITLAND ELEMENTARY,Maryland,MD ,Suitland Elementary,Prince George's County,SUITLAND,MD ,1-Regular school,2-No,2-No,1-Primary,558,558,0,479,3,558,267,291,MARYLAND,33.56,16.63
SUITLAND HIGH,Maryland,MD ,Suitland High,Prince George's County,FORESTVILLE,MD ,1-Regular school,2-No,1-Yes,3-High,1724,1724,5,1601,9,1724,771,953,MARYLAND,132.5,13.01
SUMMIT HALL ELEMENTARY,Maryland,MD ,Summit Hall Elementary,Montgomery County,GAITHERSBURG,MD ,1-Regular school,2-No,2-No,1-Primary,675,675,33,136,19,675,359,316,MARYLAND,52.7,12.81
SUMMIT PARK ELEMENTARY,Maryland,MD ,Summit Park Elementary,Baltimore County,BALTIMORE,MD ,1-Regular school,2-No,2-No,1-Primary,466,466,37,37,367,466,235,231,MARYLAND,31.82,14.64
SUNDERLAND ELEMENTARY,Maryland,MD ,Sunderland Elementary,Calvert County,SUNDERLAND,MD ,1-Regular school,2-No,2-No,1-Primary,726,726,7,99,531,726,362,364,MARYLAND,40,18.15
SUNSET ELEMENTARY,Maryland,MD ,Sunset Elementary,Anne Arundel County,PASADENA,MD ,1-Regular school,2-No,2-No,1-Primary,483,483,14,27,370,483,247,236,MARYLAND,28.4,17.01
SURRATTSVILLE HIGH,Maryland,MD ,Surrattsville High,Prince George's County,CLINTON,MD ,1-Regular school,2-No,2-No,3-High,721,721,6,624,15,721,418,303,MARYLAND,59.5,12.12
SUSSEX ELEMENTARY,Maryland,MD ,Sussex Elementary,Baltimore County,BALTIMORE,MD ,1-Regular school,2-No,2-No,1-Primary,471,471,7,115,231,471,242,229,MARYLAND,33.9,13.89
SWAN MEADOW SCHOOL,Maryland,MD ,Swan Meadow School,Garrett County,OAKLAND,MD ,1-Regular school,2-No,2-No,1-Primary,44,44,0,0,44,44,23,21,MARYLAND,3,14.67
SWANSFIELD ELEMENTARY,Maryland,MD ,Swansfield Elementary,Howard County,COLUMBIA,MD ,1-Regular school,2-No,2-No,1-Primary,637,637,47,306,136,637,344,293,MARYLAND,47,13.55
SYKESVILLE MIDDLE,Maryland,MD ,Sykesville Middle,Carroll County,SYKESVILLE,MD ,1-Regular school,2-No,2-No,2-Middle,800,800,27,26,677,800,417,383,MARYLAND,53.4,14.98
T. C. MARTIN ELEMENTARY SCHOOL,Maryland,MD ,T. C. Martin Elementary School,Charles County,BRYANTOWN,MD ,1-Regular school,2-No,2-No,1-Primary,545,545,6,124,356,545,279,266,MARYLAND,34.5,15.8
TAKOMA PARK ELEMENTARY,Maryland,MD ,Takoma Park Elementary,Montgomery County,TAKOMA PARK,MD ,1-Regular school,2-No,1-Yes,1-Primary,703,703,23,250,262,703,339,364,MARYLAND,44.6,15.76
TAKOMA PARK MIDDLE SCHOOL,Maryland,MD ,Takoma Park Middle School,Montgomery County,SILVER SPRING,MD ,1-Regular school,2-No,1-Yes,2-Middle,1055,1055,213,305,318,1055,550,505,MARYLAND,59.6,17.7
TALBOTT SPRINGS ELEMENTARY,Maryland,MD ,Talbott Springs Elementary,Howard County,COLUMBIA,MD ,1-Regular school,2-No,2-No,1-Primary,478,478,24,162,134,478,242,236,MARYLAND,47.8,10
TALL OAKS HIGH,Maryland,MD ,Tall Oaks High,Prince George's County,BOWIE,MD ,3-Vocational school,2-No,2-No,3-High,75,75,1,64,1,75,51,24,MARYLAND,15,5
