School Name,State Name [Public School] Latest available year,State Abbr [Public School] Latest available year,School Name [Public School] 2015-16,County Name [Public School] 2015-16,Location City [Public School] 2015-16,Location State Abbr [Public School] 2015-16,School Type [Public School] 2015-16,Charter School [Public School] 2015-16,Magnet School [Public School] 2015-16,School Level Code [Public School] 2015-16,Total Students All Grades (Excludes AE) [Public School] 2015-16,Total Students All Grades (Includes AE) [Public School] 2015-16,Asian or Asian/Pacific Islander Students [Public School] 2015-16,Black Students [Public School] 2015-16,White Students [Public School] 2015-16,Total Race/Ethnicity [Public School] 2015-16,Male Students [Public School] 2015-16,Female Students [Public School] 2015-16,State Name [Public School] 2015-16,Full-Time Equivalent (FTE) Teachers [Public School] 2015-16,Pupil/Teacher Ratio [Public School] 2015-16
BAYSIDE ELEMENTARY SCHOOL,Maryland,MD ,Bayside Elementary School,Queen Anne's County,STEVENSVILLE,MD ,1-Regular school,2-No,2-No,1-Primary,391,391,10,13,338,391,211,180,MARYLAND,25,15.64
BCDC EDUCATIONAL CENTER,Maryland,MD ,BCDC Educational Center,Baltimore County,TOWSON,MD ,4-Alternative/other school,2-No,2-No,3-High,14,14,0,10,3,14,12,2,MARYLAND,–,–
BEACH ELEMENTARY,Maryland,MD ,Beach Elementary,Calvert County,CHESAPEAKE BEACH,MD ,1-Regular school,2-No,2-No,1-Primary,576,576,7,52,415,576,279,297,MARYLAND,33.1,17.4
BEACON HEIGHTS ELEMENTARY,Maryland,MD ,Beacon Heights Elementary,Prince George's County,RIVERDALE,MD ,1-Regular school,2-No,2-No,1-Primary,498,498,2,131,4,498,253,245,MARYLAND,33.46,14.88
BEALL ELEMENTARY,Maryland,MD ,Beall Elementary,Allegany County,FROSTBURG,MD ,1-Regular school,2-No,2-No,1-Primary,456,456,7,7,412,456,244,212,MARYLAND,27.15,16.8
BEALL ELEMENTARY,Maryland,MD ,Beall Elementary,Montgomery County,ROCKVILLE,MD ,1-Regular school,2-No,2-No,1-Primary,825,825,185,111,294,825,445,380,MARYLAND,42.35,19.48
BEAR CREEK ELEMENTARY,Maryland,MD ,Bear Creek Elementary,Baltimore County,BALTIMORE,MD ,1-Regular school,2-No,2-No,1-Primary,488,488,6,36,346,488,256,232,MARYLAND,31.5,15.49
BEAVER RUN SCHOOL,Maryland,MD ,Beaver Run School,Wicomico County,SALISBURY,MD ,1-Regular school,2-No,2-No,1-Primary,666,666,14,291,173,666,343,323,MARYLAND,41,16.24
BEDFORD ELEMENTARY,Maryland,MD ,Bedford Elementary,Baltimore County,BALTIMORE,MD ,1-Regular school,2-No,2-No,1-Primary,315,315,6,240,15,315,155,160,MARYLAND,21.21,14.85
BEECHFIELD ELEMENTARY,Maryland,MD ,Beechfield Elementary,Baltimore city,BALTIMORE,MD ,1-Regular school,2-No,2-No,1-Primary,610,610,3,566,9,610,317,293,MARYLAND,33,18.48
BEL AIR ELEMENTARY,Maryland,MD ,Bel Air Elementary,Harford County,BEL AIR,MD ,1-Regular school,2-No,2-No,1-Primary,477,477,5,31,362,477,247,230,MARYLAND,31.9,14.95
BEL AIR ELEMENTARY,Maryland,MD ,Bel Air Elementary,Allegany County,CUMBERLAND,MD ,1-Regular school,2-No,2-No,1-Primary,232,232,3,3,211,232,109,123,MARYLAND,14.5,16
BEL AIR HIGH,Maryland,MD ,Bel Air High,Harford County,BEL AIR,MD ,1-Regular school,2-No,2-No,3-High,1581,1581,83,96,1248,1581,804,777,MARYLAND,98.33,16.08
BEL AIR MIDDLE,Maryland,MD ,Bel Air Middle,Harford County,BEL AIR,MD ,1-Regular school,2-No,2-No,2-Middle,1257,1257,85,86,981,1257,673,584,MARYLAND,76.94,16.34
BEL PRE ELEMENTARY,Maryland,MD ,Bel Pre Elementary,Montgomery County,SILVER SPRING,MD ,1-Regular school,2-No,2-No,1-Primary,576,576,45,212,33,576,321,255,MARYLAND,44.1,13.06
BELLE GROVE ELEMENTARY,Maryland,MD ,Belle Grove Elementary,Anne Arundel County,BALTIMORE,MD ,1-Regular school,2-No,2-No,1-Primary,257,257,1,66,121,257,122,135,MARYLAND,22,11.68
BELLOWS SPRING ELEMENTARY,Maryland,MD ,Bellows Spring Elementary,Howard County,ELLICOTT CITY,MD ,1-Regular school,2-No,2-No,1-Primary,734,734,154,162,278,734,393,341,MARYLAND,56.3,13.04
BELLS MILL ELEMENTARY,Maryland,MD ,Bells Mill Elementary,Montgomery County,POTOMAC,MD ,1-Regular school,2-No,2-No,1-Primary,626,626,165,67,290,626,309,317,MARYLAND,35,17.89
BELMONT ELEMENTARY,Maryland,MD ,Belmont Elementary,Montgomery County,OLNEY,MD ,1-Regular school,2-No,2-No,1-Primary,318,318,23,15,231,318,155,163,MARYLAND,18,17.67
BELMONT ELEMENTARY,Maryland,MD ,Belmont Elementary,Baltimore city,BALTIMORE,MD ,1-Regular school,2-No,2-No,1-Primary,334,334,0,327,1,334,171,163,MARYLAND,17,19.65
BELTSVILLE ACADEMY,Maryland,MD ,Beltsville Academy,Prince George's County,BELTSVILLE,MD ,1-Regular school,2-No,2-No,1-Primary,1090,1090,76,227,100,1090,582,508,MARYLAND,77.64,14.04
BELVEDERE ELEMENTARY,Maryland,MD ,Belvedere Elementary,Anne Arundel County,ARNOLD,MD ,1-Regular school,2-No,2-No,1-Primary,538,538,10,35,397,538,277,261,MARYLAND,35.8,15.03
BENFIELD ELEMENTARY,Maryland,MD ,Benfield Elementary,Anne Arundel County,SEVERNA PARK,MD ,1-Regular school,2-No,2-No,1-Primary,465,465,4,3,397,465,229,236,MARYLAND,27.7,16.79
BENJAMIN BANNEKER ELEMENTARY,Maryland,MD ,Benjamin Banneker Elementary,St. Mary's County,LOVEVILLE,MD ,1-Regular school,2-No,2-No,1-Primary,664,664,6,63,528,664,357,307,MARYLAND,42,15.81
BENJAMIN BANNEKER MIDDLE,Maryland,MD ,Benjamin Banneker Middle,Montgomery County,BURTONSVILLE,MD ,1-Regular school,2-No,2-No,2-Middle,863,863,104,538,48,863,452,411,MARYLAND,58.2,14.83
BENJAMIN D. FOULOIS ACADEMY,Maryland,MD ,Benjamin D. Foulois Academy,Prince George's County,MORNINGSIDE,MD ,1-Regular school,2-No,1-Yes,1-Primary,548,548,5,511,6,548,215,333,MARYLAND,39,14.05
