School Name [Public School] 2015-16,GreatSchools Rating,County Name [Public School] 2015-16,Location City [Public School] 2015-16,Location State Abbr [Public School] 2015-16
Centreville Middle School,8,Queen Anne's County,CENTREVILLE,MD 
Century High,10,Carroll County,SYKESVILLE,MD 
Cesar Chavez Elementary,6,Prince George's County,HYATTSVILLE,MD 
Chadwick Elementary,7,Baltimore County,BALTIMORE,MD 
Chapel District Elementary,NaN,Talbot County,CORDOVA,MD 
Chapel Forge Early Childhood Center,NaN,Prince George's County,BOWIE,MD 
Chapel Hill Elementary,10,Baltimore County,PERRY HALL,MD 
Charles Carroll Barrister Elementary,3,Baltimore city,BALTIMORE,MD 
Charles Carroll Elementary,7,Carroll County,WESTMINSTER,MD 
Charles Carroll Middle,6,Prince George's County,NEW CARROLLTON,MD 
Charles H. Chipman Elementary,NaN,Wicomico County,SALISBURY,MD 
Charles Herbert Flowers High,5,Prince George's County,SPRINGDALE,MD 
Charlesmont Elementary,5,Baltimore County,BALTIMORE,MD 
Charlestown Elementary,5,Cecil County,CHARLESTOWN,MD 
Chase Elementary,5,Baltimore County,BALTIMORE,MD 
Chatsworth School,5,Baltimore County,REISTERSTOWN,MD 
Cherokee Lane Elementary,4,Prince George's County,ADELPHI,MD 
Cherry Hill Elementary/Middle,1,Baltimore city,BALTIMORE,MD 
Cherry Hill Middle,6,Cecil County,ELKTON,MD 
Chesapeake Bay Middle,6,Anne Arundel County,PASADENA,MD 
Chesapeake Charter School,8,St. Mary's County,LEXINGTON PARK,MD 
Chesapeake City Elementary,5,Cecil County,CHESAPEAKE CITY,MD 
Chesapeake High,3,Baltimore County,BALTIMORE,MD 
Chesapeake High,6,Anne Arundel County,PASADENA,MD 
Chesapeake Math and IT Elementary Public Charter,8,Prince George's County,LAUREL,MD 
Chesapeake Math and IT Public Charter,5,Prince George's County,LAUREL,MD 
Chesapeake Math and IT South Public Charter,8,Prince George's County,UPPER MARLBORO,MD 
Chesapeake Science Point,9,Anne Arundel County,HANOVER,MD 
Chesapeake Terrace Elementary,NaN,Baltimore County,BALTIMORE,MD 
Chevy Chase Elementary,8,Montgomery County,CHEVY CHASE,MD 
Chillum Elementary,3,Prince George's County,HYATTSVILLE,MD 
Choptank Elementary School,4,Dorchester County,CAMBRIDGE,MD 
Chopticon High,7,St. Mary's County,MORGANZA,MD 
Church Creek Elementary,7,Harford County,BELCAMP,MD 
Church Hill Elementary School,NaN,Queen Anne's County,CHURCH HILL,MD 
